pub_date,pub_time,headline,url,section,source,snippet,byline,news_desk,material_type
2019-10-31,16:36:28,Spain Agrees to Host Key Climate Talks After Chile Pulls Out,https://www.nytimes.com/2019/10/31/climate/spain-chile-cop25-climate-meeting.html,Climate,The New York Times,"Madrid has offered to hold the next United Nations climate talks, the leaders of Spain and Chile announced on Thursday. ",By Somini Sengupta,Climate,News
2019-11-12,23:00:09,"Greta Thunberg Sets Sail, Again, After Climate Talks Relocate",https://www.nytimes.com/2019/11/12/climate/greta-thunberg-return-europe.html,Climate,The New York Times,"Ms. Thunberg, who doesn’t fly, found herself suddenly needing a ride across the Atlantic  when United Nations climate talks were moved on short notice.",By Somini Sengupta,Climate,News
2019-11-26,08:00:08,‘Bleak’ U.N. Report on a Planet in Peril Looms Over New Climate Talks,https://www.nytimes.com/2019/11/26/climate/greenhouse-gas-emissions-carbon.html,Climate,The New York Times,"Countries  agreed to rein in emissions in an effort to avert climate catastrophes. They've failed, according to the latest United Nations report.",By Somini Sengupta,Climate,News
2019-12-14,16:31:43,"As U.N. Climate Talks Go to Overtime, a Battle for the ‘Spirit’ of the Paris Pact",https://www.nytimes.com/2019/12/14/climate/COP25-madrid-climate-talks.html,Climate,The New York Times,"World leaders meeting in Madrid remained at loggerheads on Saturday about whether they could commit, just on paper, to raise voluntary climate targets next year.",By Somini Sengupta,Climate,News
2019-12-15,15:44:38,U.N. Climate Talks End With Few Commitments and a ‘Lost’ Opportunity,https://www.nytimes.com/2019/12/15/climate/cop25-un-climate-talks-madrid.html,Climate,The New York Times,A key United Nations meeting ended early Sunday  with the United States and other big polluters blocking even a nonbinding effort to enhance their climate targets next year.,By Somini Sengupta,Climate,News
2020-04-01,20:33:52,Coronavirus Delays Key Global Climate Talks,https://www.nytimes.com/2020/04/01/climate/cop-climate-glasgow-coronavirus.html,Climate,The New York Times,"This year’s United Nations-sponsored climate talks, widely regarded as the most important climate meeting of the last four years, were postponed because of the coronavirus pandemic.",By Somini Sengupta,Climate,News
2020-05-13,19:54:28,"In a First, Renewable Energy Is Poised to Eclipse Coal in U.S.",https://www.nytimes.com/2020/05/13/climate/coronavirus-coal-electricity-renewables.html,Climate,The New York Times,"The coronavirus has pushed the coal industry to once-unthinkable lows, and the consequences for climate change are big.",By Brad Plumer,Climate,News
2020-05-26,22:08:39,"Britain, Host of U.N. Climate Talks, Proposes Full-Year Pandemic Delay",https://www.nytimes.com/2020/05/26/climate/cop26-climate-talks.html,Climate,The New York Times,"The postponement, expected to be approved, could result in national recovery plans with high environmental costs, some diplomats say.",By Somini Sengupta,Climate,News
2020-11-04,19:38:12,The U.S. Left the Paris Climate Pact. Allies and Rivals Are Pressing Ahead.,https://www.nytimes.com/2020/11/04/climate/paris-agreement-us-election.html,Climate,The New York Times,"The American exit officially took effect Wednesday. If Joseph R. Biden Jr. wins the election and rejoins the pact, the United States will have a lot of catching up to do.",By Lisa Friedman and Somini Sengupta,Climate,News
2021-01-18,23:14:30,Can the World Break Up With Fossil Fuels? Watch the Conversation.,https://www.nytimes.com/2021/01/18/climate/live-event-netting-zero-fossil-fuel.html,Climate,The New York Times,The Times is hosting a series of virtual events ahead of global climate talks in November. This month’s topic: the demand for energy and what can be learned from the pandemic.,By The New York Times,Climate,News
2021-02-19,15:19:31,U.S. formally rejoins the Paris climate accord.,https://www.nytimes.com/2021/02/19/world/us-rejoins-paris-climate-accord.html,World,The New York Times,,By Elian Peltier and Somini Sengupta,Foreign,News
2021-05-26,16:04:08,A renewable energy ‘breakthrough’,https://www.nytimes.com/2021/05/26/climate/california-wind-farms.html,Climate,The New York Times,The Biden administration has opened up California’s coast to wind farms.,,Climate,News
2021-08-09,17:52:00,5 takeaways from the major new U.N. climate report.,https://www.nytimes.com/2021/08/09/climate/un-climate-report-takeaways.html,Climate,The New York Times,"The IPCC concluded that the world cannot avoid some devastating impacts of climate change, but that there is still a narrow window to keep the devastation from getting even worse.",By Henry Fountain,Climate,News
2021-09-07,14:11:41,A global network of activists calls for November U.N. climate talks to be postponed over pandemic concerns.,https://www.nytimes.com/2021/09/07/world/un-climate-talks-pandemic.html,World,The New York Times,"The Climate Action Network said coronavirus conditions would mean many representatives would not be able to attend the annual conference, set this year for Scotland.",By Shashank Bengali,Foreign,News
2021-09-23,20:33:01,The State of International Climate Talks,https://www.nytimes.com/interactive/2021/09/23/climate/climate-change-unga.html,Climate,The New York Times,Climate change is one of the most important subjects at the meeting of the United Nations General Assembly.,By Somini Sengupta,Climate,Interactive Feature
2021-10-30,19:00:09,The COP26 Climate Talks Are Opening. Here’s What to Expect.,https://www.nytimes.com/2021/10/30/climate/climate-summit-glasgow.html,Climate,The New York Times,"Some fundamental differences, including over money, divide the leaders heading to Glasgow. The outcome will determine, to a large extent, how humanity will survive on a hotter planet.",By Somini Sengupta,Climate,News
2021-11-01,18:18:02,Narendra Modi says India will sharply increase renewable energy.,https://www.nytimes.com/2021/11/01/world/asia/modi-india-cop26-renewable-energy.html,World,The New York Times,"Wealthy nations need to spend $1 trillion to help developing nations like India make the transition to renewables, Prime Minister Modi said.",By Somini Sengupta,Climate,News
2021-11-02,22:05:46,What It’s Like to Cover Global Climate Talks,https://www.nytimes.com/interactive/2021/11/02/climate/cop26-behind-the-scenes.html,Climate,The New York Times,"A look inside COP26, the global climate summit happening in Scotland. ",By Lisa Friedman,Climate,Interactive Feature
2021-11-03,07:06:06,South Africa secured $8.5 billion to transition away from coal. It’ll be a test case.,https://www.nytimes.com/2021/11/03/world/africa/south-africa-coal-renewables.html,World,The New York Times,Developing nations have long said they need aid from wealthy countries to shift to renewable energy. South Africa may show how that would work in practice.,By Brad Plumer,Climate,News
2021-11-03,13:48:32,A protest outside the main summit venue calls out ‘greenwashing’ by big companies.,https://www.nytimes.com/2021/11/03/world/europe/cop26-greenwashing-protest.html,World,The New York Times,"As the focus of the Glasgow summit turns to funding, protesters call for greater accountability for companies’ climate promises.",By Jenny Gross,Foreign,News
2021-11-04,18:22:08,Greta Thunberg Says Climate Talks Are Becoming a ‘Greenwash Campaign’,https://www.nytimes.com/2021/11/04/climate/greta-thunberg-cop26.html,Climate,The New York Times,Ms. Thunberg and other activists also spoke about the critical role that young women have played in pressuring world leaders to take action on climate change.,By Jenny Gross,Climate,News
2021-11-05,17:33:11,"As Turkey Chafes at Erdogan, He Gets Spikier Abroad",https://www.nytimes.com/2021/11/05/world/middleeast/erdogan-turkey-cop26.html,World,The New York Times,"President Recep Tayyip Erdogan canceled an appearance at the global climate talks over a perceived slight, part of a pattern of creating international dramas to bolster his domestic standing.",By Carlotta Gall,Foreign,News
2021-11-09,12:49:22,‘America Is Back’ Pelosi Says at Glasgow Climate Talks,https://www.nytimes.com/2021/11/09/climate/alexandria-ocasio-cortez-cop26.html,Climate,The New York Times,Representative Alexandria Ocasio-Cortez was among a group of Democratic lawmakers who traveled with Ms. Pelosi to barnstorm the COP26 climate summit.,By Lisa Friedman,Climate,News
2021-11-11,23:26:15,On the Menu at the Climate Talks ,https://www.nytimes.com/interactive/2021/11/11/climate/cop26-food.html,Climate,The New York Times,"A look at some menu offerings in Glasgow, host of the global climate summit the past two weeks. ",By Jenny Gross,Climate,Interactive Feature
2021-11-12,23:34:33,"Glasgow Climate Talks Are Down to the Wire on Money, Ambition and Fossil Fuels",https://www.nytimes.com/2021/11/12/climate/glasgow-climate-cop26.html,Climate,The New York Times,"At COP26, negotiators from about 200 countries worked overnight, hashing out differences in the quest for a new global climate agreement","By Somini Sengupta, Lisa Friedman and Brad Plumer",Climate,News
2021-11-13,08:26:07,"The climate talks are down to the wire on money, ambition and fossil fuels.",https://www.nytimes.com/2021/11/13/climate/the-climate-talks-are-down-to-the-wire-on-money-ambition-and-fossil-fuels.html,Climate,The New York Times,,By Lisa Friedman,Climate,News
2021-12-02,10:02:41,Europe Met a Climate Target. But Is It Burning Less Carbon?,https://www.nytimes.com/2021/12/02/climate/europe-climate-pledge-carbon-emissions.html,Climate,The New York Times,The European Union promised to reduce its emissions 20 percent by 2020. Did it happen?,By Lois Parshley,SpecialSections,News
2021-12-08,19:55:19,Biden Orders Federal Vehicles and Buildings to Use Renewable Energy by 2050,https://www.nytimes.com/2021/12/08/climate/biden-government-carbon-neutral.html,Climate,The New York Times,"Under an executive order, the federal government would phase out the purchase of gasoline-powered vehicles, and its buildings would be powered by wind, solar or other clean energy.",By Lisa Friedman,Climate,News
2022-05-20,15:47:52,Spot the greenwashing,https://www.nytimes.com/2022/05/20/climate/climate-change-greenwashing.html,Climate,The New York Times,"Corporate climate pledges are everywhere. Some are solid, others definitely are not.",By Manuela Andreoni,Climate,News
2022-08-23,15:58:53,How greenwashing fools us,https://www.nytimes.com/2022/08/23/climate/climate-greenwashing.html,Climate,The New York Times,"It’s hard to see through misleading claims, even for those who care about the environment. Be very skeptical.",By Somini Sengupta,Climate,News
2022-10-25,14:41:53,Some good news on energy,https://www.nytimes.com/2022/10/25/climate/energy-transition-solar-wind.html,Climate,The New York Times,"Renewable sources made up the vast majority of new generating capacity last year, a new report found. But the world’s energy transition still needs to speed up.",By Ivan Penn,Climate,News
2022-11-06,10:00:18,"Developing Nations Have a Message at Global Climate Talks: Polluters, Pay Up",https://www.nytimes.com/2022/11/06/climate/loss-and-damage-climate-cop27.html,Climate,The New York Times,Poor countries facing climate hazards want the United States and other industrialized nations to compensate them for the harm caused by greenhouse gases.,"By Brad Plumer, Lisa Friedman and Somini Sengupta",Climate,News
2022-11-08,07:09:24,Here’s what to expect on Tuesday at the climate talks in Egypt.,https://www.nytimes.com/2022/11/08/climate/cop27-world-leaders-summit.html,Climate,The New York Times,,By Jenny Gross,Climate,News
2022-11-17,17:13:21,Meet the ‘Closer’ Who Finds the Right Words When Climate Talks Hit a Wall,https://www.nytimes.com/2022/11/17/climate/biniaz-climate-united-nations.html,Climate,The New York Times,Sue Biniaz is considered one of the most innovative American legal minds when it comes to climate negotiations. She once rescued a collapsing deal by using quotation marks.,By Lisa Friedman,Climate,News
2022-11-18,17:43:28,"John Kerry Tests Positive for Covid at U.N. Climate Talks, Complicating Final Hours",https://www.nytimes.com/2022/11/18/climate/un-climate-talks-cop27.html,Climate,The New York Times,Debate intensified over a contentious issue: the creation of a fund to help poor and vulnerable countries pay for loss and damage caused by climate change.,"By Max Bearak, Brad Plumer and Lisa Friedman",Climate,News
2022-11-20,08:33:45,U.N. Climate Talks End With a Deal to Pay Poor Nations for Damage,https://www.nytimes.com/2022/11/20/climate/un-climate-cop27-loss-damage.html,Climate,The New York Times,Nations reached a landmark deal to compensate developing nations for climate harm. But some leaders said the summit didn’t go far enough in addressing the root causes of global warming.,"By Brad Plumer, Max Bearak, Lisa Friedman and Jenny Gross",Climate,News
2023-01-13,17:04:44,Should an Oil Executive Oversee Climate Talks? The U.A.E. Thinks So.,https://www.nytimes.com/2023/01/13/world/europe/sultan-al-jaber-cop28.html,World,The New York Times,"Sultan Al Jaber, who heads the Abu Dhabi National Oil Company, was chosen by the United Arab Emirates to head the upcoming COP28 summit, drawing criticism from green groups.",By Euan Ward and Vivian Nereim,Foreign,News
2023-01-19,19:18:45,"In Davos, a Skirmish Over the Role of Oil States at Climate Talks",https://www.nytimes.com/2023/01/19/climate/john-kerry-davos-world-economic-forum.html,Climate,The New York Times,John Kerry defended the choice of an oil executive to run the next climate talks while Greta Thunberg and others raised an alarm.,By David Gelles,Climate,News
2023-01-31,16:14:27,The Shift to Renewable Energy Is Speeding Up. Here’s How.,https://www.nytimes.com/2023/01/31/climate/renewable-energy-transition.html,Climate,The New York Times,The head of the world’s leading energy organization called the war in Ukraine an “accelerator” of the transition.,By Somini Sengupta,Climate,News
2023-05-03,16:13:23,Oil Executive Who Heads U.N. Climate Talks Hints at His Approach,https://www.nytimes.com/2023/05/03/climate/un-climate-oil-uae-al-jaber.html,Climate,The New York Times,"In a speech, Sultan al-Jaber, the Emirati official presiding over this year’s climate summit, spoke of emissions cuts, but experts also cited ambiguity in his statements.",By Max Bearak,Climate,News
2023-06-12,08:00:01,Why the U.S. Electric Grid Isn’t Ready for the Energy Transition,https://www.nytimes.com/interactive/2023/06/12/climate/us-electric-grid-energy-transition.html,Climate,The New York Times,The current system makes it hard to build the long-distance power lines needed to transport wind and solar nationwide.,By Nadja Popovich and Brad Plumer,Climate,Interactive Feature
2023-06-14,09:03:33,Battle Lines Harden Over Big Oil’s Role at Climate Talks in Dubai,https://www.nytimes.com/2023/06/14/climate/oil-fossil-fuel-climate-cop28.html,Climate,The New York Times,"The hosts of the United Nations global climate summit later this year aim to give fossil fuel companies a bigger voice, despite loud objections.",By Max Bearak,Climate,News
2023-07-15,09:00:30,The U.S. and China Are Restarting Climate Talks: Here’s Where Things Stand,https://www.nytimes.com/2023/07/15/climate/us-china-climate-talks.html,Climate,The New York Times,"John Kerry travels to Beijing for three days of talks, as the world’s two biggest economies, and two biggest polluters, try to cooperate on climate action.",By Lisa Friedman,Climate,News
2023-07-16,20:49:00,Your Monday Briefing: U.S. and China Restart Climate Talks,https://www.nytimes.com/2023/07/16/world/china-us-climate-g20-asia.html,World,The New York Times,"Also, the G20 finance ministers prepare to meet in India, China targets Canadian politicians and cricket rises in Texas.",By Amelia Nierenberg,NYTNow,briefing
2023-09-14,09:00:35,Meet the Oil Man in Charge of Leading the World Away From Oil,https://www.nytimes.com/2023/09/14/climate/sultan-al-jaber-uae-cop28.html,Climate,The New York Times,"Sultan al-Jaber, the energy executive leading this year’s global climate summit, says fossil fuel companies are key to the world’s energy transition. Some disagree.",By Max Bearak and Sergey Ponomarev,Climate,News
2023-09-21,14:59:17,Al Gore Says Fossil Fuel Industry Seek to ‘Capture’ Climate Talks,https://www.nytimes.com/2023/09/21/climate/al-gore-fossil-fuel.html,Climate,The New York Times,The former vice president said at The New York Times’s Climate Forward event that oil and gas companies were “using the atmosphere as an open sewer.”,By Vivian Giang,Climate,News
2023-11-08,22:05:30,A Package of Bold Laws Puts Michigan on a Fast Track to Renewable Energy,https://www.nytimes.com/2023/11/08/climate/michigan-climate-laws-energy.html,Climate,The New York Times,"Included in the new legislation is a requirement that the state generate all of its electricity from wind, solar and other carbon-free sources by 2040.",By Coral Davenport,Climate,News
2023-11-28,10:01:47,Vietnam Relied on Environmentalists to Secure Billions. Then It Jailed Them.,https://www.nytimes.com/2023/11/28/world/asia/vietnam-cop28-environment.html,World,The New York Times,The government is preparing to present its energy transition plan at the U.N. climate talks as it intensifies a crackdown on environmental advocates.,By Sui-Lee Wee,Foreign,News
2023-12-05,10:02:23,Renewable Energy Could Be a Casualty in the War on Inflation. Here’s Why.,https://www.nytimes.com/2023/12/05/climate/renewable-energy-inflation-climate-cop28.html,Climate,The New York Times,High interest rates make green start-up costs soar. Officials at the U.N. climate summit fear the world could miss an opportunity to avert future greenhouse gas emissions.,By Jim Tankersley and Brad Plumer,Climate,News
2023-12-15,18:02:31,An Ally in the Climate Fight: Nature Itself,https://www.nytimes.com/2023/12/15/climate/an-ally-in-the-climate-fight-nature-itself.html,Climate,The New York Times,Ecosystems scored a win at the climate talks in Dubai.,By Manuela Andreoni,Climate,News
2023-12-16,10:01:41,Carbon Markets Are in Limbo. That’s Not Stopping This Firm.,https://www.nytimes.com/2023/12/16/climate/carbon-markets-global-warming.html,Climate,The New York Times,An Emirati company wants to broker a nascent market in which nations trade emission reductions even before regulations are agreed upon.,By Manuela Andreoni and Max Bearak,Climate,News
2024-01-05,15:54:53,An Ecology Minister With an Oil Pedigree Will Lead Global Climate Talks,https://www.nytimes.com/2024/01/05/climate/mukhtar-babayev-azerbaijan-cop29-climate.html,Climate,The New York Times,Mukhtar Babayev has been appointed to preside over this year’s global climate talks in Azerbaijan.,By Max Bearak,Climate,News
2024-03-18,05:00:26,"Storing Renewable Energy, One Balloon at a Time",https://www.nytimes.com/2024/03/18/science/renewable-energy-storage-climate.html,Science,The New York Times,"To decarbonize the electrical grid, companies are finding creative ways to store energy during periods of low demand.",By Amos Zeeberg,Science,News
2024-03-19,18:26:29,"Oil Executives, Meeting in Texas, Cast Doubts on ‘Fantasy’ Energy Transition",https://www.nytimes.com/2024/03/19/climate/ceraweek-saudi-fantasy-energy-transition.html,Climate,The New York Times,The comments by a Saudi executive raised questions regarding whose predictions about the future of oil and gas are more likely to be true.,By Max Bearak and Brad Plumer,Climate,News
2024-04-12,22:36:32,‘Climate-Controlled’ Sausage? Courts Crack Down on ‘Greenwashing’,https://www.nytimes.com/2024/04/12/climate/climate-greenwashing-denmark-pork.html,Climate,The New York Times,"From airlines to pork sellers, corporate brands face legal and regulatory challenges for misleading the public with lofty climate claims.",By Somini Sengupta,Climate,News
2024-05-28,19:15:28,How to Fix Carbon Offsets,https://www.nytimes.com/2024/05/28/climate/how-to-fix-carbon-offsets.html,Climate,The New York Times,"Carbon offsets have been heavily criticized as greenwashing, but they have a hidden benefit: getting crucial climate funds to developing nations.",By Manuela Andreoni,Climate,News
2024-07-06,10:00:05,"Facing New ‘Greenwashing’ Law, an Oil Industry Website Goes Dark",https://www.nytimes.com/2024/07/06/world/canada/canada-greenwashing-oil-sands.html,World,The New York Times,Oil sands companies pushing a carbon capture project shut down their website after a law banning misleading environmental claims was passed.,By Ian Austen,Foreign,News
2024-09-05,19:36:37,U.S. Election Looms Over Climate Talks With China,https://www.nytimes.com/2024/09/05/climate/us-election-looms-over-climate-talks-with-china.html,Climate,The New York Times,Experts believe the outcome of the race for the White House could determine how ambitious China’s climate efforts will be.,By Lisa Friedman,Climate,News
2024-09-09,09:02:38,"Green Washing, Not Greenwashing: What’s the Best Way to Do Laundry?",https://www.nytimes.com/2024/09/09/climate/laundry-eco-friendly-tips.html,Climate,The New York Times,The suds that go down the drain can be harmful to wildlife. We’ve got tips on how to clean clothes and support nature.,By Elizabeth Anne Brown,Climate,News
2024-11-07,14:45:12,What Is COP29? Here’s What to Know About Global Climate Talks.,https://www.nytimes.com/2024/11/07/climate/cop29-baku-azerbaijan.html,Climate,The New York Times,Diplomats and leaders from around the world are gathering for annual climate negotiations. Here’s what they’re all about and what Donald Trump’s victory means for the meeting.,By David Gelles,Climate,News
2024-11-07,20:05:25,Trump Whiplash Looms Over Global Climate Talks,https://www.nytimes.com/2024/11/07/climate/trump-climate-cop-negotiations.html,Climate,The New York Times,"As the world gathers for U.N. climate negotiations in Azerbaijan next week, here’s what we will be watching.",By David Gelles,Climate,News
2024-11-11,05:00:13,Trump’s Return Hangs Over U.N. Climate Negotiations,https://www.nytimes.com/2024/11/11/climate/cop29-climate-baku-azerbaijan.html,Climate,The New York Times,The election of Donald J. Trump is sapping momentum from global climate talks as diplomats brace for his pro-fossil-fuel agenda.,By Lisa Friedman,Climate,News
2024-11-11,05:01:06,Why Is a Petrostate Holding This Year’s Climate Talks?,https://www.nytimes.com/2024/11/11/climate/cop29-why-baku-azerbaijan.html,Climate,The New York Times,"The economy of Azerbaijan, host of COP29, relies almost entirely on the fossil fuels that are the main driver of global warming.",By Max Bearak,Climate,News
2024-11-12,11:26:15,Biden Team Tries to Buoy Climate Talks Jolted by ‘Bitterly Disappointing’ Election,https://www.nytimes.com/2024/11/12/climate/cop29-baku-world-leaders.html,Climate,The New York Times,Negotiators at the summit in Azerbaijan fear that the return of Donald Trump will sap momentum for global climate action.,By Brad Plumer and David Gelles,Climate,News
2024-11-15,14:45:11,"Nuclear Power Was Once Shunned at Climate Talks. Now, It’s a Rising Star.",https://www.nytimes.com/2024/11/15/climate/cop29-climate-nuclear-power.html,Climate,The New York Times,"Growing worldwide energy demand and other factors have shifted the calculus, but hurdles still lie ahead.",By Brad Plumer,Climate,News
2024-11-16,10:33:26,Democrats Land at Climate Talks With a Message: Don’t Panic,https://www.nytimes.com/2024/11/16/climate/democrats-cop29-baku-climate.html,Climate,The New York Times,American officials are seeking to assure the world that U.S. climate action won’t end with the return of Donald Trump as president.,By David Gelles,Climate,News
2024-11-18,13:49:22,Climate Talks Head Into the Final Stretch With Negotiators Far Apart,https://www.nytimes.com/2024/11/18/climate/cop29-climate-summit-final-stretch.html,Climate,The New York Times,Senior ministers are arriving in an effort to break a deadlock over the summit’s main goal: funding to help lower-income countries hit hard by global warming.,By David Gelles and Brad Plumer,Climate,News
2024-11-18,15:15:51,Saudi Arabia Is a ‘Wrecking Ball’ in Global Climate Talks,https://www.nytimes.com/2024/11/18/climate/saudi-arabia-obstruction-fossil-fuels.html,Climate,The New York Times,"Despite endorsing a transition away from fossil fuels last year, Saudi officials have since worked to undermine it in at least five U.N. forums, diplomats said.",By Lisa Friedman,Climate,News
2024-11-21,09:22:11,"Climate Talks Teeter, With Rich and Poor Countries in a Tug of War",https://www.nytimes.com/2024/11/21/climate/cop20-climate-summit-negotiations.html,Climate,The New York Times,Western countries are confronting demands for trillions of dollars to fight climate change and to cope with its worsening effects.,By Max Bearak,Climate,News
2024-11-22,10:02:23,How Saudi Arabia Is Stalling Global Climate Talks,https://www.nytimes.com/video/climate/100000009831265/how-saudi-arabia-is-stalling-global-climate-talks.html,Climate,The New York Times,"Despite endorsing a transition away from fossil fuels last year, Saudi Arabia has since worked to undermine it, diplomats say. Lisa Friedman, a New York Times reporter covering climate policy and politics, describes how the opposition is unlike an...","By Lisa Friedman, Claire Hogan, Laura Salaberry and Ray Whitehouse",,Video
2024-11-22,15:52:23,Far From the Climate Talks: The Human Cost of Global Warming in 2024,https://www.nytimes.com/2024/11/22/climate/global-warming-disasters.html,Climate,The New York Times,"Every month so far has seen floods, fires, smashed heat records or some combination of extreme weather. Little time remains for leaders to agree on what to do about it.",By Somini Sengupta,Climate,News
2024-11-23,22:10:56,Climate Talks End With a Bitter Fight and a Deal on Money,https://www.nytimes.com/2024/11/23/climate/cop29-climate-talks-conclusion.html,Climate,The New York Times,"The financing plan, which calls for $300 billion per year in support for developing nations, was immediately assailed as inadequate by a string of delegates.",By Max Bearak,Climate,News
2024-11-26,17:26:11,Are All These U.N. Climate Talks Doing Any Good?,https://www.nytimes.com/2024/11/26/climate/cop29-un-climate-negotiations.html,Climate,The New York Times,"What the U.N. negotiations, known as COP, can (and can’t) do to combat climate change.",By Brad Plumer,Climate,News
2024-12-04,22:25:46,U.S. Defends Climate Accord as Nations Call for Stronger Global Action,https://www.nytimes.com/2024/12/04/climate/paris-agreement-international-court-justice.html,Climate,The New York Times,"In a landmark international hearing on climate change, a U.S. representative backed the Paris Agreement, but left unanswered questions about U.S. commitments in a Trump presidency.",By Karen Zraick,Climate,News
